originalWord,translation,language,proficiencyLevel,exampleUsage,explanation
szukać,seek,english,1,He's seeking a new job.,To try to find or get something
atak/napad,seizure,english,1,She had an epileptic seizure.,"A sudden attack of illness, especially affecting the brain"
pewność siebie,self-assurance,english,1,Her self-assurance impressed everyone.,Confidence in yourself
pewny siebie,self-assured,english,1,He's very self-assured.,Having confidence in yourself
samoocena,self-esteem,english,1,The criticism hurt her self-esteem.,Confidence in your own worth
samodzielny,self-reliant,english,1,She's very self-reliant.,Able to depend on yourself
poświęcający się,self-sacrificing,english,1,Parents are often self-sacrificing.,Giving up your needs for others
bezinteresowny,selfless,english,1,Her selfless dedication helped many people.,Caring more about others than yourself
wrażliwy na,sensitive to,english,1,She's sensitive to criticism.,Easily affected by something
rozpocząć się/nastać,set in,english,1,Winter has set in early this year.,To begin and seem likely to continue
dzielenie się to troska,sharing is caring,english,1,Give some candy to your sister - sharing is caring.,Being generous shows you care about others
oznaczać/znaczyć,signify,english,1,A red light signifies danger.,To be a sign of something
obgadywać kogoś,slag someone off,english,1,Stop slagging him off behind his back.,To criticize someone harshly
ociężały/powolny,sluggish,english,1,The computer is running sluggish today.,Moving or working more slowly than normal
kwaśne winogrona,sour grapes,english,1,His criticism is just sour grapes.,Pretending not to want something because you can't have it
przestronny,spacious,english,1,The apartment is very spacious.,Having a lot of space
złośliwy,spiteful,english,1,She made a spiteful comment.,Wanting to hurt or upset someone
straszny/upiorny,spooky,english,1,The old house has a spooky atmosphere.,Strange and frightening
podstawowe produkty,staples,english,1,Rice and bread are staples in many diets.,Basic food items or main elements
głód/głodzenie,starvation,english,1,Many people died of starvation.,Suffering or death from lack of food
być na bieżąco,stay up-to-date,english,1,I try to stay up-to-date with technology.,To have the latest information
trzymać się czegoś,stick to sth,english,1,Stick to your diet if you want to lose weight.,To continue with something and not change
martwa natura,still life,english,1,She painted a beautiful still life.,A painting of objects like fruit or flowers
wpaść z wizytą,stop by,english,1,I'll stop by your house later.,To visit briefly
napięcie/obciążenie,strain,english,1,The work put a strain on her health.,"Pressure or worry, or to make a great effort"
dążyć do,strive for,english,1,We should strive for excellence.,To try very hard to achieve something
podwładny/podrzędny,subordinate,english,1,He treats his subordinates with respect.,Lower in rank or position
wystarczająco,sufficiently,english,1,The food was sufficiently cooked.,Enough for a particular purpose
powierzchowny,superficial,english,1,His knowledge is superficial.,Not deep or thorough
podobno/rzekomo,supposedly,english,1,He's supposedly very rich.,According to what people say
wzrost/fala,surge,english,1,There was a surge in electricity demand.,A sudden strong increase
zrównoważoność,sustainability,english,1,Environmental sustainability is important.,The ability to maintain something without damaging the environment
zamieść coś pod dywan,sweep something under the carpet,english,1,Don't sweep this issue under the carpet.,To hide a problem instead of dealing with it
świnia,swine,english,1,Don't be such a swine!,"A pig, or an unpleasant person"
być surowym wobec kogoś,take a hard line on someone,english,1,The teacher takes a hard line on cheating.,To be strict with someone
podbić/zawojować,take by storm,english,1,The new singer took the country by storm.,To become very popular quickly
odbywać się/mieć miejsce,take place,english,1,The wedding will take place in the garden.,"To happen, especially in a controlled or organized way"
wziąć coś pod uwagę,take something into account,english,1,We must take costs into account.,To consider something when making a decision
traktować z przymrużeniem oka,take something with a grain of salt,english,1,Take his promises with a grain of salt.,To not completely believe something
kark komputerowca,tech neck,english,1,Too much phone use can cause tech neck.,Neck pain from looking down at devices
problemy początkowe,teething problems,english,1,The new system had teething problems.,Difficulties when starting something new
szeregowy,terraced,english,1,They live in a terraced house.,Houses joined together in a row
teraz twoja kolej,the ball is in your court,english,1,I've made my offer - the ball is in your court.,It's your turn to take action
troskliwy/myślący,thoughtful,english,1,It was thoughtful of you to call.,Caring about others or thinking carefully
ponadczasowy,timeless,english,1,Her beauty is timeless.,Not affected by time; always relevant
ciekawy szczegół/plotka,titbit of news,english,1,She always has titbits of news about celebrities.,An interesting piece of information
przystosować się,to adapt,english,1,Animals adapt to their environment.,To change to suit new conditions
być w czyjejś sytuacji,to be in somebody's shoes,english,1,I wouldn't want to be in his shoes right now.,To be in someone else's position
zostać zwolnionym,to be made redundant,english,1,Many workers were made redundant.,To lose your job because it's no longer needed
wejść na nowy rynek,to break into new market,english,1,The company wants to break into the Asian market.,To start selling in a new market area
mieć szczęście,to catch a break,english,1,He finally caught a break and got the job.,To have some good luck
robić coś zgodnie z przepisami,to do sth by the book,english,1,The officer does everything by the book.,To follow rules exactly
ruszyć z czymś,to get something off the ground,english,1,It took months to get the project off the ground.,To start something successfully
dołożyć dodatkowych starań,to go the extra mile,english,1,She always goes the extra mile for her customers.,To make extra effort to achieve something
spakować zbyt dużo,to overpack,english,1,Don't overpack for your trip.,To pack too many things
dążyć do/kontynuować,to pursue,english,1,She decided to pursue her dreams.,To follow or continue with something
zdecydować się na coś ryzykownego,to take the plunge,english,1,"After years of planning, he took the plunge and started his own business.",To decide to do something risky or important
do końca czasów,to the end of time,english,1,I will love you to the end of time.,Forever
pozyskać ludzi,to win people over,english,1,His charm helps him win people over.,To gain people's support or approval
twardy orzech do zgryzienia,tough nut to crack,english,1,This math problem is a tough nut to crack.,A difficult problem or person
podróżować z lekkim bagażem,travel light,english,1,I prefer to travel light.,To travel with few possessions
ogromnie/niezmiernie,tremendously,english,1,I enjoyed the show tremendously.,Very much
wtargnięcie,trespassing,english,1,No trespassing signs were everywhere.,Going onto someone's private property without permission
godny zaufania,trustworthy,english,1,She's a trustworthy employee.,Able to be trusted
przymknąć oko,turn a blind eye,english,1,The teacher turned a blind eye to the student's lateness.,To ignore something deliberately
zacząć od nowa,turn over a new leaf,english,1,He's turned over a new leaf since prison.,To change your behavior and start being better
nieosiągalny,unattainable,english,1,His goals seem unattainable.,Unable to be achieved
nieświadomy,unaware,english,1,She was unaware of the problem.,Not knowing about something
odkryć/odsłonić,uncover,english,1,They uncovered the truth.,To find something that was hidden
niedomagać,under the weather,english,1,I'm feeling under the weather today.,Feeling slightly ill
w przeciwieństwie do,unlike,english,1,"Unlike his brother, he's very quiet.",Different from
wyobrażać sobie/wizualizować,visualise,english,1,Try to visualize your success.,To form a picture of something in your mind
żywy/wyrazisty,vivid,english,1,She has vivid memories of childhood.,Very bright or producing clear images in the mind
moda,vogue,english,1,Long skirts are in vogue this season.,Popular fashion or style
wrażliwy/bezbronny,vulnerable,english,1,Children are vulnerable to peer pressure.,Easily hurt or influenced
od ściany do ściany,wall-to-wall,english,1,The room has wall-to-wall carpet.,Covering the entire area
pies bojowy,warfare dog,english,1,Warfare dogs help soldiers in combat.,A dog trained for military use
watażkowie,warlords,english,1,The country was ruled by warlords.,Military leaders who control areas
ostrożny,wary,english,1,Be wary of strangers.,Careful to avoid danger or problems
wodnisty,watery,english,1,The soup was watery.,Containing too much water
podczas gdy,while,english,1,She read while waiting for the bus.,At the same time as
siła woli,willpower,english,1,Losing weight requires willpower.,The ability to control your thoughts and behavior
wytrzymać/oprzeć się,withstand,english,1,The building can withstand earthquakes.,To remain strong despite pressure or attack
żałosny/opłakany,woeful,english,1,The team's performance was woeful.,Very sad or of poor quality
pracować jak wół,work like a dog,english,1,She worked like a dog to finish the project.,To work very hard
martwić się o,worry about,english,1,Don't worry about the exam.,To feel anxious about something
wartościowy/opłacalny,worthwhile,english,1,The course was worthwhile.,Worth the time and effort involved
załamywać ręce,wring one's hand,english,1,She was wringing her hands with anxiety.,To show extreme worry or distress
anxiety,niepokój,english,1,He's been feeling a lot of anxiety about his new job.,An uncomfortable feeling of nervousness or worry about something that is happening or might happen in the future.
tense,napięty,english,1,She was very tense as she waited for the interview,"Unable to relax because of nervousness, anxiety, or stimulation"
grief,smutek,english,1,Her grief at her son's death was terrible,"Very great sadness, especially at the death of someone"
unbothered,nieprzejmujący się,english,1,She was unbothered by the mess in the sink,"Being unbothered means you're good at managing your emotions, and not worrying about things that won't affect you"
refurbish,odnawiać,english,1,The premises have been completely refurbished in our corporate style.,"renovate and redecorate - sth, especially a building"
intrude on,przeszkadzać,english,1,"I don't want to intrude on your meeting, but I need to ask you a question.",forced or unwelcome presence
amusement,rozrywka,english,1,Her eyes twinkled with amusement as she watched the children play.,An activity that you can take part in for entertainment
defamation,zniesławienie,english,1,,A statement that injures a third party's reputation
wobbly,chwiejny,english,1,"I've been in bed with the flu, and my legs still feel a little wobbly.","If something's wobbly, it tends to sway or lurch from side to side, like the wobbly wheel on a broken tricycle"
breed,rasa,english,1,Terriers are a breed of dog.,A breed of a pet animal or farm animal is a particular type of it.
breed,hodować,english,1,Ten mice were bred in the laboratory.,Mate and then produce offspring.
spread,rozprzestrzeniać się,english,1,The cancer has spread to her throat.,
trait,cecha,english,1,The traditional British trait of self-denigration.,"A distinguishing quality or characteristic, typically one belonging to a person."
backwards,wstecz,english,1,Penny glanced backwards,towards the direction that is opposite to the one in which you are facing or opposite to the usual direction
in return,wzamian,english,1,He left the house for his sister in return for her kindness.,"as a response, exchange, or reward for something"
precautions,środki ostrożności,english,1,He had taken the precaution of seeking legal advice.,"a measure taken in advance to prevent something dangerous, unpleasant, or inconvenient from happening"
vulnerability,podatność,english,1,"Examples of vulnerability include sharing your emotions, talking about your mistakes, and being honest about your needs",capable of being physically or emotionally wounded
"rozlać, rozsypać",spill,english,1,I accidentally spilled coffee on my laptop.,"To cause or allow liquid or particles to fall out of a container, usually accidentally."
"wyciek, rozlanie",spill,english,1,The oil spill harmed marine life.,An amount of liquid that has flowed out of its container.
wyjawić (sekret),spill,english,1,"Come on, spill! What did they say about me?",(Informal) To reveal private or secret information.
"wytrzeć, posprzątać",mop up,english,1,She grabbed a cloth to mop up the milk.,"To clean up liquid with a mop, cloth, or sponge."
"dokończyć, domknąć",mop up,english,1,We just need to mop up the paperwork and we're done.,"(Informal) To finish the last, minor parts of a task or operation."
zlikwidować resztki (wroga),mop up,english,2,The infantry moved in to mop up the remaining enemy forces.,(Military) To defeat or remove remaining opposition after the main battle.
spostrzegawczy,perceptive,english,1,She's remarkably perceptive about people's feelings.,Quick to notice or understand things that are not obvious.
"prześcignąć, wyprzedzić",overtake,english,1,Online sales have overtaken store purchases.,"To become more successful, larger, or greater than someone or something else."
mieć świetny dzień,Having a field day,english,1,The gossips had a field day when they found out about the affair.,Enjoy something very much
znaczący,prominent,english,1,She was a prominent member of the city council.,important and well-known
gazy cieplarniane,greenhouse gases,english,1,,gases in the earth's atmosphere that trap heat
zabezpieczyć,preserve,english,1,"When you preserve something, you maintain its condition, like trying to preserve your good health by exercising regularly and eating right.","to keep something as it is, especially to prevent it from decaying or being damaged or destroyed"
zmniejszenie,depletion,english,1,the depletion of the ozone layer,reduction in the number or quantity of something.
szkodliwy,detrimental,english,1,Recent policies have been detrimental to the interests of many old people,"Detrimental is a formal way of saying ""harmful."" Anything detrimental hurts, hinders, or puts a damper on something."
paliwa kopalniane,fossil fuels,english,1,,"A natural fuel such as coal or gas, formed in the geological past from the remains of living organisms"
szkodliwy,adverse,english,1,preventing success or development; harmful; unfavourable,Taxes are having an adverse effect on production.
niekorzystny,unfavourable,english,1,Unfavourable weather has had damaging effects on this year's harvest,Not giving you an advantage or a good chance of success
pilny,pressing,english,1,Inflation was the most pressing problem,requiring quick or immediate action or attention
zużyć,use up,english,1,The money was soon used up,use all of a stock or supply of something
pomysłowy,ingenious,english,1,He was ingenious enough to overcome the limited budget.,"(of a person) clever, original, and inventive"
rozdawać,dispense,english,1,Orderlies went round dispensing drinks,distribute or provide (a service or information) to a number of people
rozdawać,hand out,english,1,Ralph handed out cigars.,Give a share of something or one of a set of things to each of a number of people; distribute
przyprawa,condiment,english,1,," A substance, such as salt, that you add to food to improve its taste"
bieżnia,treadmill,english,1,,"A machine for exercising on which you run or walk on a strip that moves back, so that you must move at the same speed as the strip"
